2424-0.5.TXT HR0.49Kmin ML-18.75% TtaDa ExpDat_02406_Ti HR0.98Kmin ML-18.46% TtaDa ExpDat_02368_Ti HR10.56Kmin ML-19.13% TtaDa ExpDat_02431_Ti HR22.43Kmin ML-19.1% TtaDa
108.3888 8702.947 -0.0005921 1.927e-06 133.193 3700.2 -5.142e-08 2.581e-07 132.878 679.6002 -0.0007604 7.253e-06 148.1320  508.0002  1.561e-03 -3.784e-05
110.1224 8922.426 -0.0001704 1.795e-06 134.8913 3806.106 7.54e-05 1.985e-06 135.1456 692.6344 -0.0006413 1.442e-05 150.1623  513.9871  1.095e-03 -1.563e-04
111.8357 9141.906 0.0001395 8.949e-07 136.6091 3912.011 0.0005432 7.234e-06 137.4406 705.6685 -0.0002469 5.273e-05 152.2385  519.9741 -5.895e-05 -1.590e-04
113.5713 9361.386 0.0002151 -9.609e-08 138.3111 4017.917 0.001636 1.336e-05 139.7185 718.7027 0.0006261 6.978e-05 154.2960  525.9610 -4.192e-04  4.325e-05
115.2865 9580.865 0.0001311 -6.246e-07 140.0225 4123.822 0.003282 1.689e-05 142.0394 731.7369 0.001366 3.793e-05 156.3987  531.9479 -1.026e-05  2.494e-05
117.0226 9800.345 -5.817e-05 -1.147e-06 141.739 4229.728 0.004728 8.069e-06 144.3506 744.7711 0.001419 -3.704e-05 158.4788  537.9349 -1.896e-04 -5.248e-05
118.7646 10019.825 -0.0003201 -9.034e-07 143.4477 4335.633 0.005025 -1.311e-06 146.6758 757.8052 0.0005577 -8.173e-05 160.5869  543.9218 -4.240e-04 -1.668e-05
120.4887 10239.304 -0.0003484 7.8e-07 145.1604 4441.539 0.004775 -1.994e-06 149.0085 770.8394 -0.0001745 -9.938e-06 162.6997  549.9087 -4.539e-04 -4.279e-06
122.2097 10458.784 3.62e-05 2.622e-06 146.8772 4547.444 0.004766 2.199e-06 151.3339 783.8736 0.0004047 9.512e-05 164.8212  555.8957 -3.033e-04  7.819e-05
123.9195 10678.264 0.0007341 3.52e-06 148.5877 4653.35 0.005234 6.493e-06 153.677 796.9077 0.002014 0.0001384 166.9601  561.8826  4.936e-04  1.777e-04
125.6548 10897.743 0.001542 3.946e-06 150.332 4759.255 0.006105 9.845e-06 156.0266 809.9419 0.003715 0.0001148 169.1020  567.8695  1.549e-03  1.456e-04
