1.Temperature[°C] 1.Time[s] 1.Conversion[-] 1.Conversion_rate[1/s] 2.Temperature[°C] 2.Time[s] 2.Conversion[-] 2.Conversion_rate[1/s] 3.Temperature[°C] 3.Time[s] 3.Conversion[-] 3.Conversion_rate[1/s] 4.Temperature[°C] 4.Time[s] 4.Conversion[-] 4.Conversion_rate[1/s]
78.416 1323.6 -0.0002287 9.931e-05 78.771 634.9998 0.001014 3.922e-05 81.307 435 0.0001468 0.0001443 76.663 279.4002 -0.0008481 0.0002377
78.74968 1333.39 0.0003434 1.652e-05 79.19996 638.9717 0.0009304 -6.756e-05 81.66421 436.6734 0.0004289 0.0001736 77.01362 280.4082 -0.0008045 -0.0001399
79.04211 1343.18 0.0001039 -3.19e-05 79.65651 642.9435 0.0006175 5.71e-05 82.04969 438.3467 0.0006351 9.065e-06 77.38348 281.4163 -0.0009252 -6.928e-05
79.38274 1352.97 0.0002014 5.449e-05 80.1037 646.9154 0.0009532 -2.9e-05 82.40446 440.0201 0.0003917 -0.0001999 77.7369 282.4243 -0.0006203 -3.557e-05
79.70911 1362.76 0.0001398 -7.579e-05 80.54609 650.8872 0.0003324 -4.279e-05 82.77639 441.6935 0.0007649 0.0003206 78.097 283.4324 -0.0005887 0.000656
80.00453 1372.55 -0.0003162 -5.869e-06 80.9862 654.8591 0.000587 4.195e-05 83.12693 443.3668 0.0007544 -0.0003023 78.46018 284.4404 -0.0007012 -0.0006033
80.33638 1382.34 1.844e-05 5.296e-05 81.4272 658.831 0.0004824 1.916e-05 83.50788 445.0402 0.000424 -0.0002171 78.80415 285.4484 -1.279e-05 0.001412
80.65111 1392.13 0.0006284 3.373e-05 81.87129 662.8028 0.0005919 -3.977e-05 83.88208 446.7136 0.0006589 0.0001923 79.18166 286.4565 -0.0007079 -0.000981
80.96185 1401.92 0.0007146 1.09e-05 82.31914 666.7747 0.0003676 4.369e-05 84.25489 448.3869 0.000522 -0.0002109 79.56785 287.4645 -0.0009778 -8.999e-05
81.28971 1411.71 0.0003043 -8.562e-05 82.78173 670.7466 0.0004167 -6.594e-05 84.64009 450.0603 0.0006199 0.0001454 79.92795 288.4726 5.136e-05 0.001138
81.60578 1421.499 -7.177e-05 3.695e-05 83.21168 674.7184 0.0001994 7.36e-06 85.00283 451.7337 0.0008468 -0.0001166 80.30044 289.4806 -0.0004281 -0.001288
81.90875 1431.289 0.0002777 7.08e-06 83.67165 678.6903 4.895e-07 1.559e-05 85.37124 453.407 0.0002531 -0.0001309 80.66477 290.4886 -0.0002815 0.0002478
82.23322 1441.079 0.0002669 -2.337e-07 84.10767 682.6621 7.482e-05 -2.326e-05 85.74696 455.0804 0.0005063 0.0002221 81.0355 291.4967 0.0002396 0.0009325
82.56253 1450.869 0.0002647 -1.943e-06 84.56254 686.634 -0.0002374 1.539e-05 86.11691 456.7538 0.0004576 -0.0004184 81.40192 292.5047 9.548e-05 -0.0009475
