##Temp./°C;Time/min;Pressure/Bar;DSC/(mW/mg);Sensit./(uV/mW)
114.19100;59.42000;19.98453;-6.759130e-002;3.14215
114.19200;59.42333;19.98438;-6.733249e-002;3.14215
114.19400;59.42667;19.98362;-6.746175e-002;3.14215
114.19700;59.43000;19.98301;-6.746158e-002;3.14215
114.19800;59.43333;19.98301;-6.746151e-002;3.14215
114.20100;59.43667;19.98286;-6.746135e-002;3.14215
114.20200;59.44000;19.98316;-6.784940e-002;3.14216
114.20300;59.44333;19.98392;-6.797871e-002;3.14216
114.20400;59.44667;19.98392;-6.797866e-002;3.14216
114.20600;59.45000;19.98392;-6.784916e-002;3.14216
114.20600;59.45333;19.98377;-6.771980e-002;3.14216
114.20700;59.45667;19.98392;-6.759037e-002;3.14216
114.21000;59.46000;19.98392;-6.759019e-002;3.14216
114.21300;59.46333;19.98392;-6.784876e-002;3.14216
114.21500;59.46667;19.98407;-6.810739e-002;3.14217
114.21600;59.47000;19.98407;-6.771922e-002;3.14217
114.21900;59.47333;19.98407;-6.758967e-002;3.14217
114.22100;59.47667;19.98392;-6.771893e-002;3.14217
114.22200;59.48000;19.98392;-6.771887e-002;3.14217
114.22400;59.48333;19.98407;-6.810686e-002;3.14217
114.22500;59.48667;19.98453;-6.823618e-002;3.14217
114.22700;59.49000;19.98468;-6.810669e-002;3.14217
114.22900;59.49333;19.98407;-6.823594e-002;3.14218
114.23000;59.49667;19.98407;-6.810652e-002;3.14218
114.23200;59.50000;19.98377;-6.797703e-002;3.14218
114.23400;59.50333;19.98392;-6.797691e-002;3.14218
114.23600;59.50667;19.98377;-6.784742e-002;3.14218
114.23700;59.51000;19.98377;-6.823548e-002;3.14218
114.23900;59.51333;19.98407;-6.836473e-002;3.14218
114.24100;59.51667;19.98407;-6.862335e-002;3.14219
114.24200;59.52000;19.98422;-6.849393e-002;3.14219
114.24300;59.52333;19.98438;-6.836450e-002;3.14219
114.24500;59.52667;19.98331;-6.810564e-002;3.14219
114.24700;59.53000;19.98331;-6.810553e-002;3.14219
114.24900;59.53333;19.98438;-6.810541e-002;3.14219
114.25100;59.53667;19.98498;-6.823467e-002;3.14219
114.25200;59.54000;19.98574;-6.810524e-002;3.14219
114.25400;59.54333;19.98604;-6.784638e-002;3.14220
114.25500;59.54667;19.98574;-6.771695e-002;3.14220
114.25700;59.55000;19.98574;-6.797558e-002;3.14220
114.25900;59.55333;19.98589;-6.849293e-002;3.14220
114.26000;59.55667;19.98559;-6.849288e-002;3.14220
114.26200;59.56000;19.98544;-6.849276e-002;3.14220
114.26400;59.56333;19.98544;-6.888075e-002;3.14220
114.26600;59.56667;19.98559;-6.875127e-002;3.14220
114.26800;59.57000;19.98574;-6.836304e-002;3.14221
114.27000;59.57333;19.98589;-6.797482e-002;3.14221
114.27200;59.57667;19.98574;-6.758659e-002;3.14221
114.27300;59.58000;19.98544;-6.784528e-002;3.14221
114.27400;59.58333;19.98544;-6.797459e-002;3.14221
114.27600;59.58667;19.98589;-6.771574e-002;3.14221
114.27800;59.59000;19.98741;-6.784499e-002;3.14221
114.28000;59.59333;19.98741;-6.771550e-002;3.14222
114.28200;59.59667;19.98771;-6.836223e-002;3.14222
114.28200;59.60000;19.98710;-6.887970e-002;3.14222
114.28400;59.60333;19.98665;-6.836212e-002;3.14222
114.28700;59.60667;19.98665;-6.823258e-002;3.14222
114.28800;59.61000;19.98680;-6.836188e-002;3.14222
114.28900;59.61333;19.98665;-6.823246e-002;3.14222
114.29100;59.61667;19.98650;-6.810297e-002;3.14222
114.29300;59.62000;19.98619;-6.797348e-002;3.14223
114.29400;59.62333;19.98589;-6.797343e-002;3.14223
114.29600;59.62667;19.98498;-6.810268e-002;3.14223
114.29800;59.63000;19.98483;-6.836130e-002;3.14223
114.30000;59.63333;19.98483;-6.836118e-002;3.14223
114.30100;59.63667;19.98589;-6.836113e-002;3.14223
114.30300;59.64000;19.98650;-6.823164e-002;3.14223
114.30400;59.64333;19.98665;-6.810222e-002;3.14223
114.30600;59.64667;19.98665;-6.836084e-002;3.14224
114.30800;59.65000;19.98665;-6.836072e-002;3.14224
114.31000;59.65333;19.98695;-6.810187e-002;3.14224
114.31200;59.65667;19.98710;-6.810175e-002;3.14224
114.31300;59.66000;19.98725;-6.810169e-002;3.14224
114.31400;59.66333;19.98725;-6.823101e-002;3.14224
